ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
144,Little Fockers,Little_Fockers,30833665,3536,12/22/10,566,0,1090926,267,282,450,1122830,278,290,463,1160059,285,296,472,1216888,284,303,484,1273750,295,311,504,1344955,298,322,520
145,Logan,Logan_(film),7137,1,9/10/10,-445,1,9611,0,0,0,9613,0,0,0,9615,0,0,0,9616,0,0,0,9620,0,0,0,9624,0,0,0
146,Looking for Eric,Looking_for_Eric,6743,2,5/14/10,464,0,78305,47,54,101,79823,47,54,101,81376,49,55,102,83073,50,57,104,85454,52,59,107,88416,54,60,108
147,Lottery Ticket,Lottery_Ticket_(film),10652297,1973,8/20/10,352,0,207494,97,97,189,215928,112,101,196,221832,113,104,200,233413,120,109,205,260675,128,115,213,307642,131,130,242
148,Love and Other Drugs,Love_and_Other_Drugs,9739161,2455,11/24/10,445,0,293702,54,70,94,308748,59,75,99,324305,63,79,104,344522,61,79,105,377863,63,80,106,478335,79,96,125
149,Love Ranch,Love_Ranch,44220,11,6/30/10,64,0,22671,3,3,8,26887,4,4,9,30817,5,6,11,38054,7,8,13,43801,7,8,13,47055,10,12,20
150,MacGruber,MacGruber_(film),4043495,2551,5/21/10,148,0,91053,63,64,76,104868,63,64,76,122699,62,65,77,169293,78,79,97,222336,85,88,113,284610,95,97,123
151,Machete,Machete_(film),11416164,2670,9/3/10,1255,0,1405021,451,472,620,1448749,467,494,655,1528766,472,509,676,1604484,498,522,693,1664892,502,532,706,1775629,524,566,755
152,Made in Dagenham,Made_in_Dagenham,37563,3,11/19/10,325,0,26862,31,32,48,40570,42,41,62,59439,44,45,66,72012,49,49,71,83768,50,51,73,91866,53,55,79
153,Mademoiselle Chambon,Mademoiselle_Chambon,19446,2,5/28/10,-559,1,70,0,0,0,76,0,0,0,82,0,0,0,89,0,0,0,98,0,0,0,102,0,0,0
154,Marmaduke,Marmaduke_(film),11599661,3213,6/4/10,174,0,31645,16,16,24,43563,19,20,29,63679,25,23,35,78687,35,30,60,98893,49,45,81,118035,65,57,107
155,Marwencol,Marwencol,3276,1,10/8/10,73,0,5,2,6,10,5,2,6,10,5,3,7,11,6,4,9,16,137,5,11,20,597,5,11,20
156,Megamind,Megamind,46016833,3944,11/5/10,698,0,718216,286,319,406,754113,290,336,428,791729,307,356,454,836078,341,374,497,882918,371,389,537,936627,389,436,609
157,Monsters,Monsters_(2010_film),20508,3,10/29/10,146,0,40452,21,23,53,54738,29,30,63,70535,31,32,69,91870,37,40,80,126843,54,65,114,153380,54,71,125
158,Morning Glory,Morning_Glory_(2010_film),9203266,2518,11/10/10,573,0,486053,73,85,105,501278,72,86,106,514428,72,86,106,528044,73,88,108,546079,78,90,110,568563,81,91,111
159,Mugabe and the White African,Mugabe_and_the_White_African,1907,1,7/23/10,370,0,6989,13,22,44,7513,13,22,44,8076,14,23,45,8436,14,23,45,8628,14,23,45,8805,15,24,46
160,Multiple Sarcasms,Multiple_Sarcasms,16025,15,5/7/10,1017,0,29689,11,12,16,30274,11,12,16,30874,11,12,16,31543,11,12,16,32114,12,13,17,32867,13,14,18
161,My Dog Tulip,My_Dog_Tulip,11550,1,9/1/10,891,0,16349,13,19,38,16503,13,19,38,16887,14,20,39,17403,14,20,39,17990,14,21,40,19597,14,21,40
162,My Name Is Khan,My_Name_Is_Khan,1944027,120,2/12/10,874,0,599466,331,457,923,649981,339,475,972,692672,331,512,1026,746590,356,561,1135,804888,357,564,1142,867365,359,567,1150
163,My Soul to Take,My_Soul_to_Take,6842220,2572,10/8/10,345,0,89095,24,35,56,99203,27,37,59,118148,34,45,70,130824,37,50,75,165408,45,56,82,208157,52,64,90
164,Never Let Me Go,Never_Let_Me_Go_(2010_film),111734,4,9/15/10,508,0,226655,64,87,124,238045,75,89,127,255539,74,97,139,274345,72,104,149,294603,79,106,153,319510,86,113,172
165,Night Catches Us,Night_Catches_Us,13562,4,12/3/10,141,0,1817,6,7,20,2748,8,10,23,3356,10,12,25,4108,10,12,25,4874,10,13,26,6060,11,14,27
166,No One Knows About Persian Cats,No_One_Knows_About_Persian_Cats,8843,2,4/16/10,337,0,27577,35,28,52,29500,32,30,54,32038,35,31,58,35832,39,32,59,39272,38,34,66,42552,38,34,66
167,No Problem,No_Problem_(film),242116,84,12/10/10,363,0,71778,32,33,41,77755,35,38,51,84276,45,45,58,92002,56,54,70,101254,60,60,87,111495,76,69,102
168,Nowhere Boy,Nowhere_Boy,52749,4,10/8/10,584,0,395056,103,144,187,408351,103,147,191,421473,103,150,194,434425,103,150,194,446305,110,155,201,459634,111,157,203
169,Ondine,Ondine_(film),27497,5,6/4/10,430,0,84658,19,21,40,86991,19,21,40,94126,21,24,43,100296,21,24,43,106908,23,26,45,112127,25,27,46
170,Only When I Dance,Only_When_I_Dance,2181,1,7/2/10,113,0,373,4,4,5,426,4,4,5,483,5,5,6,578,5,5,6,627,5,5,6,652,5,5,6
171,OSS 117 Lost in Rio,OSS_117:_Lost_in_Rio,10243,3,5/7/10,190,0,2237,5,6,7,2542,6,7,27,2848,7,8,29,3089,7,8,29,3366,7,8,29,3691,7,8,29
172,Our Family Wedding,Our_Family_Wedding,7629862,1605,3/12/10,32,0,3884,0,0,0,4310,0,0,0,4556,0,0,0,5675,1,1,15,17787,8,8,22,28844,10,10,24
173,Paranormal Activity 2,Paranormal_Activity_2,40678424,3216,10/22/10,111,0,171968,55,71,92,218639,61,77,98,260179,59,79,100,312044,76,96,121,367960,99,114,161,491963,120,143,210
174,Peepli Live,Peepli_Live,350054,64,8/13/10,249,0,41295,33,33,50,43170,33,33,50,49560,42,42,61,58033,53,53,75,87326,74,75,111,123610,97,95,140
175,Percy Jackson and the Olympians The Lightning Thief,Percy_Jackson_&_the_Olympians:_The_Lightning_Thief,31236067,3356,2/12/10,334,0,474400,194,225,297,514752,190,230,302,576238,204,246,322,635172,227,269,347,707326,240,295,375,803314,268,335,423
176,Perrier%27s Bounty,Perrier%27s_Bounty,828,1,5/21/10,535,0,25849,13,15,18,29741,16,17,20,31378,17,18,21,32388,18,20,23,33252,20,23,27,34078,20,23,27
177,Piranha 3D,Piranha_3D,10106872,2470,8/20/10,663,0,397121,112,140,191,408432,120,147,198,416843,125,150,203,437259,148,172,237,475646,157,186,257,559758,186,215,294
178,Please Give,Please_Give,118123,5,4/30/10,65,0,464,2,3,4,770,2,3,4,1663,3,4,7,2494,3,4,7,3219,3,4,7,4092,4,5,8
179,Preacher%27s Kid,Preacher%27s_Kid_(film),190638,109,1/29/10,304,0,11456,11,11,24,12050,11,11,24,12472,11,11,24,13021,11,11,24,13735,11,11,24,14806,11,11,24
180,Predators,Predators_(film),24760882,2669,7/9/10,2215,0,846727,260,416,692,895249,261,428,706,941676,281,447,733,998786,293,469,772,1044455,294,488,797,1111731,301,529,844
181,Prince of Persia The Sands of Time,Prince_of_Persia:_The_Sands_of_Time_(film),30095259,3646,5/28/10,1421,0,1005155,292,348,542,1046021,293,354,549,1087734,311,372,578,1126335,320,377,584,1175245,336,395,603,1258114,353,419,644
182,Raajneeti,Raajneeti,850244,124,6/4/10,553,0,199764,139,134,208,206439,152,143,221,214103,156,150,229,226734,156,151,231,248026,185,177,268,276194,212,215,325
183,Raavan,Raavan,482760,120,6/18/10,1503,0,349298,188,205,309,452716,292,339,538,539098,338,375,584,597812,356,414,635,651918,380,445,675,708571,408,480,739
184,Rabbit Hole,Rabbit_Hole_(film),53778,5,12/17/10,458,0,150899,37,47,69,166706,39,49,72,178455,43,56,80,188994,46,57,90,198610,51,67,101,219051,55,73,110
185,Racing Dreams,Racing_Dreams,20048,33,5/21/10,35,0,2392,0,0,0,2392,0,0,0,2392,0,0,0,2493,4,4,11,2585,4,4,11,2696,4,4,11
186,Ramona and Beezus,Ramona_and_Beezus,7810481,2719,7/23/10,435,0,550800,133,144,210,564376,133,144,210,577839,139,149,217,592032,144,155,225,609691,152,162,233,631206,170,185,276
187,Rare Exports A Christmas Tale,Rare_Exports:_A_Christmas_Tale,9281,1,12/3/10,63,0,186,2,2,4,1123,4,4,12,2078,4,4,12,7617,6,6,14,13951,11,9,20,16754,11,9,20
188,Red Hill,Red_Hill_(film),8650,5,11/5/10,269,0,806,2,2,2,1529,3,3,3,2820,3,3,3,4196,3,3,3,5036,4,4,4,5924,4,4,4
189,RED,RED_(2010_film),21761408,3255,10/15/10,69,0,319832,54,73,159,349195,55,76,164,375574,55,76,164,407880,56,79,167,452581,63,84,173,502709,66,90,179
190,Remember Me,Remember_Me_(2010_film),8089139,2212,3/12/10,248,0,302864,54,65,99,321905,55,69,103,335942,63,80,117,352643,68,85,126,381765,75,96,141,424057,96,131,180
191,Repo Men,Repo_Men,6126170,2521,3/19/10,1005,0,160796,114,154,209,174172,114,155,212,197071,117,160,220,216890,121,168,228,233130,124,171,231,282676,127,176,237
192,Resident Evil Afterlife,Resident_Evil:_Afterlife,26650264,3203,9/10/10,963,0,1561857,352,518,756,1612005,379,536,778,1697836,393,569,822,1776488,402,590,845,1872431,414,611,873,1996981,426,625,889
193,Restrepo,Restrepo_(film),35581,2,6/25/10,124,0,3053,2,2,2,3563,2,2,2,5300,2,2,2,6739,4,4,4,8913,5,6,6,9935,6,7,7
194,Robin Hood,Robin_Hood_(2010_film),36063385,3503,5/14/10,943,0,845575,130,150,265,881706,137,159,282,922997,150,169,295,967055,153,172,298,1022596,153,178,306,1103088,174,199,333
195,Saint John of Las Vegas,Saint_John_of_Las_Vegas,21666,2,1/29/10,0,1,2475,0,0,0,2558,0,0,0,2646,0,0,0,2757,0,0,0,2873,0,0,0,2967,0,0,0
196,Salt,Salt_(2010_film),36011243,3612,7/23/10,505,0,495893,111,139,192,515525,113,141,194,541111,112,144,199,567038,127,163,220,600495,132,169,229,626832,142,182,247
197,Saw 3D,Saw_3D,22530123,2808,10/29/10,409,0,788497,218,393,685,848960,217,414,721,936246,221,419,732,1018280,219,432,754,1142099,231,445,784,1281960,237,457,810
198,Scott Pilgrim vs. the World,Scott_Pilgrim_vs._the_World,10609795,2818,8/13/10,812,0,792385,130,176,235,849860,136,192,253,891159,141,200,261,913045,156,214,276,1016272,178,260,343,1232199,208,311,410
199,Secretariat,Secretariat_(film),12694770,3072,10/8/10,476,0,146585,46,50,72,155262,49,51,73,163312,48,52,74,174652,50,54,76,191593,50,54,76,213655,56,61,88
200,See What I%27m Saying The Deaf Entertainers Documentary,See_What_I%27m_Saying:_The_Deaf_Entertainers_Documentary,4996,1,3/19/10,-447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Sex and the City 2,Sex_and_the_City_2,31001870,3445,5/27/10,357,0,423074,118,120,172,457204,143,139,196,512044,155,155,221,554638,173,169,236,603640,189,185,281,663512,201,204,303
202,She%27s Out of My League,She%27s_Out_of_My_League,9775278,2956,3/12/10,696,0,97174,37,38,76,108907,37,38,76,117160,38,40,78,127372,41,44,86,156572,50,53,100,201002,54,57,104
203,Shrek Forever After,Shrek_Forever_After,70838207,4359,5/21/10,1843,0,1524372,926,1208,1688,1576942,958,1250,1739,1633010,987,1285,1785,1708839,1025,1333,1851,1786222,1052,1370,1897,1863799,1112,1444,1997
204,Shutter Island,Shutter_Island_(film),41062440,2991,2/19/10,845,0,795913,197,254,391,830527,206,255,392,871768,210,264,401,929995,216,271,411,991325,235,285,427,1078691,262,311,463
205,Skyline,Skyline_(film),11692415,2880,11/12/10,212,0,107616,39,55,83,126129,52,65,100,160706,61,73,110,196535,80,95,139,292953,87,109,161,452110,131,156,227
206,Smash His Camera,Smash_His_Camera,2367,1,7/30/10,59,0,198,0,0,0,588,3,3,9,837,3,3,9,997,3,3,9,1053,3,3,9,1236,3,3,9
207,Somewhere,Somewhere_(film),119086,7,12/22/10,515,0,256990,62,68,98,269075,63,69,99,282755,65,71,101,296676,68,73,103,312083,71,75,105,333476,75,83,113
208,Speed-Dating,Speed-Dating,3394,1,6/4/10,-404,1,1999,0,0,0,2129,0,0,0,2205,0,0,0,2367,0,0,0,2500,0,0,0,2877,0,0,0
209,Standing Ovation,Standing_Ovation_(film),343125,623,7/16/10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,3,3,14
210,Step Up 3D,Step_Up_3D,15812311,2435,8/6/10,445,0,497772,138,141,207,511298,153,149,217,525841,158,157,226,544782,172,171,242,565328,180,182,257,643534,187,195,272
211,Stone,Stone_(2010_film),75766,6,10/8/10,454,0,103567,24,24,36,110642,27,25,37,119998,27,26,38,129982,29,28,40,145214,32,31,45,165539,39,37,59
212,Stonewall Uprising,Stonewall_Uprising,15729,4,6/16/10,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Summer Wars,Summer_Wars,1412,1,12/24/10,498,0,335997,98,116,204,344741,94,122,218,354182,98,126,224,365729,104,134,265,374670,100,139,285,387145,112,149,301
214,Takers,Takers,20512304,2206,8/27/10,664,0,800733,191,196,301,819114,196,201,306,833635,197,202,307,863451,203,205,316,930523,210,210,325,1003378,211,217,332
215,Tamara Drewe,Tamara_Drewe_(film),18604,4,10/8/10,129,0,29200,12,15,30,35217,13,16,31,46238,15,18,33,73420,22,25,41,100368,32,33,54,116373,34,37,59
216,Tangled,Tangled,48767052,3603,11/24/10,2403,0,902859,682,903,1215,939592,697,926,1247,981737,714,950,1277,1023716,729,967,1299,1076442,738,977,1310,1159806,759,1002,1341
217,Tees Maar Khan,Tees_Maar_Khan,539793,108,12/22/10,320,0,235818,185,205,303,254951,201,228,340,296987,229,280,414,348770,282,335,493,411497,309,366,543,476271,333,394,599
218,The American,The_American_(2010_film),13177790,2823,9/1/10,141,0,40748,25,23,56,44057,28,26,63,49396,28,26,63,57749,33,30,68,69991,37,33,74,88327,40,35,76
219,The A-Team,The_A-Team_(film),25669455,3535,6/11/10,807,0,1135570,140,174,225,1186632,145,190,246,1233016,149,193,249,1293486,161,203,268,1386783,168,213,282,1508930,184,238,310
220,The Back-up Plan,The_Back-up_Plan,12201710,3280,4/23/10,304,0,115010,55,56,93,123203,54,58,95,133188,61,62,105,144333,72,83,150,162178,87,102,177,184290,102,118,197
221,The Black Waters of Echo%27s Pond,The_Black_Waters_of_Echo%27s_Pond,224409,404,4/9/10,0,1,528,0,0,0,547,0,0,0,570,0,0,0,586,0,0,0,617,0,0,0,663,0,0,0
222,The Book of Eli,The_Book_of_Eli,32789494,3111,1/15/10,441,0,476113,62,81,139,493496,65,82,140,518255,63,84,142,542259,68,89,151,634596,81,99,161,863305,109,130,201
223,The Bounty Hunter,The_Bounty_Hunter_(2010_film),20686423,3074,3/19/10,254,0,205225,36,36,62,221629,39,40,66,238571,46,50,76,256828,52,54,80,274601,57,61,88,298452,59,62,90
224,The Cartel,The_Cartel,3694,2,4/16/10,218,0,788,3,3,4,989,4,4,8,1084,4,4,8,1189,5,5,9,1332,6,6,10,1545,7,8,12
225,The Chronicles of Narnia The Voyage of the Dawn Treader,The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,24005069,3555,12/10/10,620,0,1076513,375,468,709,1105666,392,489,760,1135770,366,498,774,1176716,363,504,784,1233428,395,538,830,1328805,458,590,923
226,The City of Your Final Destination,The_City_of_Your_Final_Destination,24401,1,4/16/10,1048,0,58467,30,33,54,60001,33,34,55,61669,33,35,56,63271,33,36,57,64581,34,37,58,66005,34,38,59
227,The Crazies,The_Crazies_(2010_film),16067552,2476,2/26/10,315,0,179429,55,62,94,195974,57,68,106,215007,65,75,123,227928,60,78,127,309165,100,122,189,406052,104,135,208
228,The Disappearance of Alice Creed,The_Disappearance_of_Alice_Creed,40258,10,8/6/10,326,0,67706,30,34,58,71470,30,35,60,75028,30,35,60,78402,33,38,63,82234,35,40,66,88263,35,40,66
229,The Dry Land,The_Dry_Land,7351,5,7/30/10,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,6,256,1,1,6
230,The Expendables,The_Expendables_(2010_film),34825135,3270,8/13/10,599,0,3037709,657,810,1387,3138958,669,833,1417,3221902,681,849,1445,3295986,701,872,1478,3552253,733,915,1532,3842970,771,964,1594
231,The Extra Man,The_Extra_Man_(film),18861,2,7/30/10,462,0,87730,24,25,40,90183,24,25,40,91911,28,28,43,93852,28,28,43,95451,29,30,45,97765,30,31,51
232,The Fighter,The_Fighter,300010,4,12/10/10,509,0,839115,137,146,204,865067,138,153,213,888784,144,156,216,915579,144,156,216,941434,148,167,234,1026199,158,175,245
233,The Girl on the Train,The_Girl_on_the_Train,19154,2,1/22/10,20,0,7,0,0,0,23,0,0,0,32,0,0,0,36,0,0,0,36,0,0,0,273,3,3,6
234,The Good Heart,The_Good_Heart,5955,5,4/30/10,56,0,1612,0,0,0,2192,1,1,2,2588,1,1,2,3084,3,3,4,4027,5,5,6,4804,5,5,6
235,The Harimaya Bridge,The_Harimaya_Bridge,1226,1,3/12/10,510,0,13551,11,14,26,13801,12,15,27,13990,12,15,27,14226,12,15,27,14464,12,15,27,14725,13,16,29
236,The Illusionist,The_Illusionist_(2010_film),38594,3,12/25/10,1397,0,109616,101,139,225,115316,104,143,229,122932,104,143,229,128915,108,144,230,134626,107,147,233,142987,105,148,234
237,The Joneses,The_Joneses,509689,193,4/16/10,410,0,34161,12,13,13,35579,12,13,13,40489,16,17,25,44744,19,19,31,48553,19,19,31,53340,19,19,31
238,The Karate Kid,The_Karate_Kid_(2010_film),55665805,3663,6/11/10,338,0,468948,111,121,159,495760,117,127,166,523337,133,146,187,557208,143,154,198,603452,162,167,219,665913,178,192,247
239,The Kids Are All Right,The_Kids_Are_All_Right_(film),491971,7,7/9/10,152,0,52893,6,9,13,58805,7,10,14,64916,9,11,16,72822,9,11,16,77198,10,12,17,84214,10,12,17
240,The Killer Inside Me,The_Killer_Inside_Me_(2010_film),11083,1,6/18/10,560,0,218926,69,78,102,227498,68,80,104,239775,74,84,111,248464,75,85,112,261951,77,92,119,285269,85,99,126
241,The King%27s Speech,The_King%27s_Speech,355450,4,11/26/10,376,0,261688,114,131,186,294662,121,141,201,305020,125,146,206,326656,124,151,213,342140,135,159,225,359931,138,162,228
242,The Last Airbender,The_Last_Airbender,40325019,3169,7/1/10,805,0,3244513,579,1013,1398,3347032,601,1052,1449,3426651,622,1081,1481,3533296,657,1135,1549,3680280,679,1178,1600,3789944,723,1266,1705
243,The Last Exorcism,The_Last_Exorcism,20366613,2874,8/27/10,162,0,55816,18,24,45,62130,18,28,53,68113,18,29,54,80862,18,30,56,138629,27,37,64,212066,35,51,78
244,The Last Song,The_Last_Song_(film),16007426,2673,3/31/10,364,0,753396,185,336,781,806878,191,352,811,857152,205,365,825,913522,229,390,857,998420,249,421,895,1097061,243,446,924
245,The Last Station,The_Last_Station,73723,3,1/15/10,572,0,115126,27,31,42,118825,28,32,43,125820,30,34,45,131805,33,39,51,140171,37,43,55,147422,40,45,57
246,The Legend of Pale Male,The_Legend_of_Pale_Male,12910,1,11/24/10,-155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
247,The Losers,The_Losers_(film),9406348,2936,4/23/10,1180,0,139098,32,30,45,151442,32,31,46,166488,37,39,59,184780,36,40,60,215249,41,45,66,267677,48,50,74
248,The Lottery,The_Lottery_(2010_film),16435,1,6/11/10,142,0,5706,6,6,8,5864,6,6,8,6136,6,6,8,6623,7,7,14,7000,7,7,14,7614,7,7,14
249,The Man from Nowhere,The_Man_from_Nowhere_(film),35751,1,10/1/10,-32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0
250,The Milk of Sorrow,The_Milk_of_Sorrow,1914,1,8/27/10,557,0,70898,80,78,127,71513,80,78,127,72133,79,79,128,73198,79,79,128,74656,81,81,131,76102,85,82,132
251,The Most Dangerous Man in America Daniel Ellsberg and the Pentagon Papers,The_Most_Dangerous_Man_in_America:_Daniel_Ellsberg_and_the_Pentagon_Papers,1114,1,1/29/10,-20,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,13,0,0,0
252,The Next Three Days,The_Next_Three_Days,6542779,2564,11/19/10,388,0,210698,61,88,139,221763,61,91,142,233182,61,91,142,245751,60,93,144,279925,80,106,161,309006,81,110,165
253,The Nutcracker in 3D,The_Nutcracker_in_3D,65944,42,11/24/10,-1,1,2,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,9,0,0,0,9,0,0,0
254,The Oath,The_Oath_(2010_film),5760,1,5/7/10,76,0,569,4,5,13,761,4,5,13,961,4,5,13,1154,4,5,13,1456,5,8,25,1822,5,8,25
255,The Other Guys,The_Other_Guys,35543162,3651,8/6/10,1805,0,470384,148,152,235,490843,156,160,244,511531,164,171,259,531148,173,175,267,552470,178,187,279,596456,191,194,292
256,The People I%27ve Slept With,The_People_I%27ve_Slept_With,3716,1,8/13/10,96,0,3103,1,1,6,3342,1,1,6,3581,1,1,6,3704,1,1,6,4113,1,1,6,4550,1,1,6
257,The Perfect Game,The_Perfect_Game,511698,417,4/16/10,1184,0,158886,106,111,175,161914,104,112,176,165196,109,114,181,169367,106,119,187,176499,117,123,192,185386,122,126,197
258,The Red Chapel,The_Red_Chapel,2459,1,12/29/10,331,0,7708,10,10,12,8098,12,11,15,8451,13,12,16,9056,13,12,16,9542,13,12,16,9986,13,12,16
259,The Romantics,The_Romantics_(film),45527,2,9/10/10,309,0,75321,33,36,58,79488,33,36,58,84984,33,36,58,95216,37,38,61,110255,43,41,65,125723,43,43,67
260,The Runaways,The_Runaways_(film),805115,244,3/19/10,269,0,511482,58,68,123,559736,59,74,129,602687,68,81,137,628639,68,81,137,657892,74,84,141,712903,79,91,152
261,The Secret in Their Eyes,The_Secret_in_Their_Eyes,167866,10,4/16/10,198,0,20452,35,43,89,24467,35,43,89,29199,37,48,99,63023,73,90,157,69239,86,106,187,74618,89,115,200
262,The Secret of Kells,The_Secret_of_Kells,39826,1,3/5/10,833,0,21226,31,35,84,22166,31,35,84,22912,31,35,84,30999,37,39,93,47669,42,46,103,56994,46,50,107
263,The Social Network,The_Social_Network,22445653,2771,10/1/10,383,0,632148,165,202,304,737268,177,220,331,836055,178,226,340,936793,200,240,357,1082610,204,251,368,1333456,224,270,394
264,The Sorcerer%27s Apprentice,The_Sorcerer%27s_Apprentice_(2010_film),17619622,3504,7/14/10,1074,0,519766,76,82,114,537610,78,87,119,560403,87,92,127,585009,92,102,137,613926,102,112,150,647972,118,136,188
265,The Spy Next Door,The_Spy_Next_Door,9726056,2924,1/15/10,430,0,233970,92,86,138,242469,78,87,139,253998,86,91,143,262994,95,99,153,282640,100,107,162,309544,103,112,168
266,The Strange Case of Angelica,The_Strange_Case_of_Angelica,7499,1,12/29/10,-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,The Switch,The_Switch_(2010_film),8436713,2012,8/20/10,550,0,229794,58,54,88,235175,56,55,89,238877,57,56,90,248735,61,60,94,266270,59,62,96,299287,68,70,106
268,The Taqwacores,The_Taqwacores_(film),3532,1,10/22/10,218,0,3499,4,5,8,3735,5,6,11,4008,7,8,14,4221,7,8,14,4532,7,9,15,5217,8,10,16
269,The Tempest,The_Tempest_(2010_film),42436,5,12/10/10,740,0,246265,63,67,97,265915,69,75,107,280567,70,77,109,295653,71,78,110,312901,71,81,114,329129,72,82,115
270,The Temptation of St. Tony,The_Temptation_of_St._Tony,747,1,9/17/10,346,0,1960,3,3,4,2085,3,3,4,2228,3,3,4,2338,3,3,4,2453,3,3,4,2586,4,4,5
271,The Thorn in the Heart,The_Thorn_in_the_Heart,5173,1,4/2/10,318,0,8631,1,1,2,8981,1,1,2,9271,1,1,2,9522,1,1,2,9889,1,1,2,10478,1,1,2
272,The Tillman Story,The_Tillman_Story,52185,4,8/20/10,-3,1,3,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,10,0,0,0,12,0,0,0
273,The Tourist,The_Tourist_(2010_film),16472458,2756,12/10/10,113,0,146270,49,49,76,176058,60,57,87,199903,68,66,98,227081,65,67,101,273579,70,74,108,330150,78,81,117
274,The Town,The_Town_(2010_film),23808032,2861,9/17/10,377,0,212100,51,58,85,247921,52,60,87,276915,58,64,91,303414,59,70,97,339931,63,75,103,397301,70,86,120
275,The Trial,The_Trial_(2010_film),8957,1,9/10/10,-163,1,322,0,0,0,330,0,0,0,340,0,0,0,435,0,0,0,504,0,0,0,566,0,0,0
276,The Twilight Saga Eclipse,The_Twilight_Saga:_Eclipse,64832191,4468,6/30/10,491,0,3058202,799,1225,1547,3137324,812,1250,1576,3217731,850,1310,1660,3298743,863,1328,1684,3404344,887,1367,1745,3468042,928,1453,1867
277,The Virginity Hit,The_Virginity_Hit,301885,700,9/24/10,62,0,183,3,3,3,5117,9,9,13,11803,9,9,13,17351,12,14,20,28722,18,25,37,77206,29,48,64
278,The Warrior%27s Way,The_Warrior%27s_Way,3048665,1622,12/3/10,551,0,68012,13,12,18,76785,14,15,21,87148,18,19,26,96214,22,22,29,120799,27,26,34,154596,30,28,39
279,The Weathered Underground,The_Weathered_Underground,1010,3,1/26/10,922,0,1726,17,19,42,1807,17,19,42,1889,17,19,42,1972,17,19,42,2098,17,19,42,2231,17,19,42
280,The Wildest Dream,The_Wildest_Dream,67848,12,8/6/10,-40,1,422,0,0,0,423,0,0,0,423,0,0,0,423,0,0,0,423,0,0,0,424,0,0,0
281,The Wolfman,The_Wolfman_(2010_film),31479235,3222,2/12/10,1228,0,548974,197,296,441,569280,217,305,451,595555,221,317,468,629861,242,326,489,677861,243,343,514,741828,278,383,568
282,Tiny Furniture,Tiny_Furniture,21235,1,11/12/10,211,0,2087,13,19,57,2201,13,19,57,2321,13,19,57,2472,13,19,57,3799,13,19,57,4433,13,19,57
283,Tooth Fairy,Tooth_Fairy_(film),14010409,3344,1/22/10,273,0,233509,52,63,91,244584,52,63,91,256008,58,69,98,268936,66,75,108,290505,72,80,115,319079,80,87,126
284,To Save a Life,To_Save_a_Life,1581517,441,1/22/10,19,0,388,0,0,0,498,0,0,0,663,0,0,0,842,0,0,0,1146,0,0,0,4352,5,6,7
285,Toy Story 3,Toy_Story_3,110307189,4028,6/18/10,2029,0,2953585,1605,2521,3322,3043969,1667,2596,3444,3149812,1727,2679,3567,3249770,1797,2778,3708,3373198,1890,2902,3878,3577295,2028,3090,4138
286,Tron Legacy,Tron:_Legacy,44026211,3451,12/17/10,601,0,1525055,441,648,869,1604269,452,667,891,1722701,469,697,928,1855918,482,725,958,2013164,488,767,1007,2257961,527,824,1077
287,True Grit,True_Grit_(2010_film),24830443,3047,12/22/10,308,0,442867,72,88,106,478308,75,91,110,508306,79,96,116,542424,83,101,122,607712,92,109,133,678640,112,134,162
288,Twelve,Twelve_(film),110238,231,8/6/10,342,0,185716,31,31,51,193475,31,34,55,203780,33,37,58,213077,35,39,60,220274,39,41,63,236222,45,42,69
289,Two in the Wave,Two_in_the_Wave,5676,1,5/19/10,-165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Udaan,Udaan_(2010_film),2715,2,7/16/10,81,0,1306,8,13,29,2966,8,14,30,4006,9,15,32,4825,10,16,33,6374,13,19,38,9471,18,22,44
291,Unstoppable,Unstoppable_(2010_film),22688457,3207,11/12/10,463,0,408395,138,136,214,434137,146,147,225,455230,151,156,235,484339,156,167,246,532341,156,177,256,614931,175,185,264
