ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
35,Carbon Nation,Carbon_Nation,402,1,5/7/10,-5,1,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0
36,Case 39,Case_39,5350570,2211,10/1/10,1357,0,401298,141,151,201,413000,138,153,203,433666,135,156,206,462381,145,163,216,500947,154,171,225,567018,161,180,236
37,Casino Jack and the United States of Money,Casino_Jack_and_the_United_States_of_Money,28234,9,5/7/10,229,0,5,0,0,0,792,1,1,1,2174,3,3,3,3313,3,3,3,4358,4,4,4,5357,7,7,14
38,Casino Jack,Casino_Jack,34528,7,12/17/10,57,0,45293,17,19,34,47857,17,19,34,55183,20,22,38,60830,24,26,42,80082,25,28,44,94452,26,31,49
39,Catfish,Catfish_(film),257285,12,9/17/10,43,0,0,0,0,0,0,0,0,0,12162,5,5,6,18273,5,5,6,25568,13,15,29,46632,31,45,78
40,Cats and Dogs The Revenge of Kitty Galore,Cats_&_Dogs:_The_Revenge_of_Kitty_Galore,12279363,3705,7/30/10,667,0,0,119,138,196,0,139,153,222,0,149,176,254,0,164,192,274,0,173,204,288,0,194,228,328
41,Centurion,Centurion_(film),42826,12,8/27/10,526,0,223580,57,77,119,228514,60,83,125,235710,71,95,153,247788,72,101,160,271657,77,105,166,331753,78,111,173
42,Chain Letter,Chain_Letter_(film),138788,406,10/1/10,151,0,12547,14,18,33,14937,14,18,33,17233,14,18,33,18387,14,19,35,22113,16,20,36,27070,16,21,37
43,Chance Pe Dance,Chance_Pe_Dance,117917,68,1/15/10,112,0,30128,29,26,46,34371,28,28,49,41862,37,36,61,48850,43,39,66,58448,51,46,77,69891,68,59,104
44,Charlie St. Cloud,Charlie_St._Cloud_(film),12381585,2718,7/30/10,334,0,188129,39,49,79,218935,44,54,84,232026,48,57,89,245793,50,63,95,269128,66,78,112,323284,77,92,126
45,Children of Invention,Children_of_Invention,4874,2,3/12/10,58,0,20,0,0,0,286,1,1,24,605,2,2,25,757,2,2,25,898,2,2,25,1134,3,3,26
46,Clash of the Titans,Clash_of_the_Titans_(2010_film),61235105,3777,4/2/10,356,0,1360886,142,166,232,1445696,149,179,250,1548818,157,197,280,1695610,174,216,303,1871039,190,234,323,2073627,227,289,388
47,Client 9 The Rise and Fall of Eliot Spitzer,Client_9:_The_Rise_and_Fall_of_Eliot_Spitzer,16962,3,11/5/10,51,0,0,0,0,0,47,3,3,10,244,5,5,13,690,7,7,15,1019,8,8,17,1331,9,9,19
48,Come Undone,Come_Undone_(film),2030,1,12/3/10,-242,1,77,0,0,0,94,0,0,0,109,0,0,0,127,0,0,0,140,0,0,0,158,0,0,0
49,Conviction,Conviction_(film),102351,11,10/15/10,579,0,106527,68,70,96,113844,67,72,98,121032,67,72,98,130945,72,77,108,140054,76,80,111,150319,80,86,117
50,Cool It,Cool_It_(film),26847,41,11/12/10,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
51,Cop Out,Cop_Out_(2010_film),18211126,3150,2/26/10,275,0,400098,61,84,105,422334,62,91,112,443770,66,96,118,461294,67,98,120,489310,77,107,130,526798,86,123,147
52,Countdown to Zero,Countdown_to_Zero,41307,3,7/23/10,94,0,3838,12,14,36,9538,19,23,45,10019,19,23,45,10409,19,23,45,10845,19,24,46,11258,19,24,46
53,Country Strong,Country_Strong,30452,2,12/22/10,224,0,64883,27,29,38,74145,28,31,40,98593,31,35,45,122664,35,38,48,142002,36,39,49,154013,38,41,52
54,Crazy on the Outside,Crazy_on_the_Outside,64438,75,1/8/10,583,0,59118,22,30,50,60252,22,30,50,61656,24,32,52,64409,26,33,53,66650,28,34,54,70746,26,35,55
55,Dabangg,Dabangg,628137,62,9/10/10,284,0,35685,36,37,56,40385,37,38,63,67876,62,82,119,95939,91,117,158,122278,104,138,181,163798,111,151,198
56,Date Night,Date_Night,25207599,3374,4/9/10,317,0,412532,50,55,74,428464,52,57,76,446391,59,60,81,467152,56,62,83,497655,67,72,94,536790,94,93,130
57,Daybreakers,Daybreakers,15146692,2523,1/8/10,960,0,287792,69,84,110,306324,73,86,112,330093,83,100,130,357748,89,106,140,419127,93,113,149,509220,103,121,160
58,Dear John,Dear_John_(2010_film),30468614,2969,2/5/10,401,0,112466,44,42,58,123588,44,42,58,138999,48,48,65,161679,56,50,73,217469,66,61,84,285914,90,87,121
59,Death at a Funeral,Death_at_a_Funeral_(2010_film),16217540,2459,4/16/10,131,0,98579,31,32,43,120721,35,35,47,145495,44,42,58,173598,47,49,67,233779,67,67,92,289528,85,88,120
60,Defendor,Defendor,13265,3,2/19/10,686,0,59504,12,16,29,61886,13,17,30,64293,13,17,30,66585,14,19,32,68182,14,19,32,72301,16,21,34
61,Despicable Me,Despicable_Me,56397125,3476,7/9/10,358,0,463993,160,180,247,481830,172,186,257,503531,185,195,266,530558,198,208,285,559223,209,224,311,608001,251,267,369
